"","filename","time_index","timestamp","band_index","band"
"121","disk/t_10/b_4.tif","10","2017-03-22 08:16:11","4","4"
"122","disk/t_10/b_5.tif","10","2017-03-22 08:16:11","5","5"
"123","disk/t_10/b_6.tif","10","2017-03-22 08:16:11","6","6"
"124","disk/t_10/b_7.tif","10","2017-03-22 08:16:11","7","7"
"125","disk/t_10/b_8.tif","10","2017-03-22 08:16:11","8","8"
"126","disk/t_10/b_9.tif","10","2017-03-22 08:16:11","9","8a"
"127","disk/t_10/b_10.tif","10","2017-03-22 08:16:11","10","9"
"128","disk/t_10/b_11.tif","10","2017-03-22 08:16:11","11","10"
"129","disk/t_10/b_12.tif","10","2017-03-22 08:16:11","12","11"
"130","disk/t_10/b_13.tif","10","2017-03-22 08:16:11","13","12"
"131","disk/t_11/b_1.tif","11","2017-04-01 08:20:01","1","1"
"132","disk/t_11/b_2.tif","11","2017-04-01 08:20:01","2","2"
"133","disk/t_11/b_3.tif","11","2017-04-01 08:20:01","3","3"
"134","disk/t_11/b_4.tif","11","2017-04-01 08:20:01","4","4"
"135","disk/t_11/b_5.tif","11","2017-04-01 08:20:01","5","5"
"136","disk/t_11/b_6.tif","11","2017-04-01 08:20:01","6","6"
"137","disk/t_11/b_7.tif","11","2017-04-01 08:20:01","7","7"
"138","disk/t_11/b_8.tif","11","2017-04-01 08:20:01","8","8"
"139","disk/t_11/b_9.tif","11","2017-04-01 08:20:01","9","8a"
"140","disk/t_11/b_10.tif","11","2017-04-01 08:20:01","10","9"
"141","disk/t_11/b_11.tif","11","2017-04-01 08:20:01","11","10"
"142","disk/t_11/b_12.tif","11","2017-04-01 08:20:01","12","11"
"143","disk/t_11/b_13.tif","11","2017-04-01 08:20:01","13","12"
"144","disk/t_12/b_1.tif","12","2017-04-11 08:16:01","1","1"
"145","disk/t_12/b_2.tif","12","2017-04-11 08:16:01","2","2"
"146","disk/t_12/b_3.tif","12","2017-04-11 08:16:01","3","3"
"147","disk/t_12/b_4.tif","12","2017-04-11 08:16:01","4","4"
"148","disk/t_12/b_5.tif","12","2017-04-11 08:16:01","5","5"
"149","disk/t_12/b_6.tif","12","2017-04-11 08:16:01","6","6"
"150","disk/t_12/b_7.tif","12","2017-04-11 08:16:01","7","7"
"151","disk/t_12/b_8.tif","12","2017-04-11 08:16:01","8","8"
"152","disk/t_12/b_9.tif","12","2017-04-11 08:16:01","9","8a"
"153","disk/t_12/b_10.tif","12","2017-04-11 08:16:01","10","9"
"154","disk/t_12/b_11.tif","12","2017-04-11 08:16:01","11","10"
"155","disk/t_12/b_12.tif","12","2017-04-11 08:16:01","12","11"
"156","disk/t_12/b_13.tif","12","2017-04-11 08:16:01","13","12"
"157","disk/t_13/b_1.tif","13","2017-04-21 08:20:11","1","1"
"158","disk/t_13/b_2.tif","13","2017-04-21 08:20:11","2","2"
"159","disk/t_13/b_3.tif","13","2017-04-21 08:20:11","3","3"
"160","disk/t_13/b_4.tif","13","2017-04-21 08:20:11","4","4"
"161","disk/t_13/b_5.tif","13","2017-04-21 08:20:11","5","5"
"162","disk/t_13/b_6.tif","13","2017-04-21 08:20:11","6","6"
"163","disk/t_13/b_7.tif","13","2017-04-21 08:20:11","7","7"
"164","disk/t_13/b_8.tif","13","2017-04-21 08:20:11","8","8"
"165","disk/t_13/b_9.tif","13","2017-04-21 08:20:11","9","8a"
"166","disk/t_13/b_10.tif","13","2017-04-21 08:20:11","10","9"
"167","disk/t_13/b_11.tif","13","2017-04-21 08:20:11","11","10"
"168","disk/t_13/b_12.tif","13","2017-04-21 08:20:11","12","11"
"169","disk/t_13/b_13.tif","13","2017-04-21 08:20:11","13","12"
"170","disk/t_14/b_1.tif","14","2017-05-01 08:16:11","1","1"
"171","disk/t_14/b_2.tif","14","2017-05-01 08:16:11","2","2"
"172","disk/t_14/b_3.tif","14","2017-05-01 08:16:11","3","3"
"173","disk/t_14/b_4.tif","14","2017-05-01 08:16:11","4","4"
"174","disk/t_14/b_5.tif","14","2017-05-01 08:16:11","5","5"
"175","disk/t_14/b_6.tif","14","2017-05-01 08:16:11","6","6"
"176","disk/t_14/b_7.tif","14","2017-05-01 08:16:11","7","7"
"177","disk/t_14/b_8.tif","14","2017-05-01 08:16:11","8","8"
"178","disk/t_14/b_9.tif","14","2017-05-01 08:16:11","9","8a"
"179","disk/t_14/b_10.tif","14","2017-05-01 08:16:11","10","9"
"180","disk/t_14/b_11.tif","14","2017-05-01 08:16:11","11","10"
"181","disk/t_14/b_12.tif","14","2017-05-01 08:16:11","12","11"
"182","disk/t_14/b_13.tif","14","2017-05-01 08:16:11","13","12"
"183","disk/t_15/b_1.tif","15","2017-05-11 08:20:11","1","1"
"184","disk/t_15/b_2.tif","15","2017-05-11 08:20:11","2","2"
"185","disk/t_15/b_3.tif","15","2017-05-11 08:20:11","3","3"
